Pickable Name,Pickable color,Container name,Container color,Correct pickable,Correct container,Level,Time stamp
llave de tubos,amarilla,canasta,verde,True,True,0,21/05/2021 2:03:20 a. m.
destornillador de pala,blanco,caneca,blanca,True,True,1,21/05/2021 2:03:29 a. m.
serrucho,marron,caja,roja,True,True,1,21/05/2021 2:03:44 a. m.
llave,azul,canasta,roja,True,True,1,21/05/2021 2:03:55 a. m.
llave,azul,canasta,negra,True,True,2,21/05/2021 2:04:08 a. m.
llaves bristol,azul,canasta,marrón,True,True,2,21/05/2021 2:04:22 a. m.
taladro,verde,canasta,marrón,True,True,2,21/05/2021 2:04:33 a. m.
llave,gris,canasta,marrón,True,True,2,21/05/2021 2:04:49 a. m.
alicate,negro,caneca,roja,True,True,0,8/07/2021 8:21:25 p. m.
taladro,azul,caneca,roja,True,True,1,8/07/2021 8:21:35 p. m.
hacha,marron,caja,roja,True,True,1,8/07/2021 8:22:14 p. m.
hacha,marron,caneca,azul,True,True,1,8/07/2021 8:22:23 p. m.
llaves bristol,verde,caneca,azul,True,True,2,8/07/2021 8:22:31 p. m.
alicate,azul,caja,azul,True,True,2,8/07/2021 8:22:46 p. m.
serrucho,negro,canasta,verde,True,True,2,8/07/2021 8:22:58 p. m.
taladro,verde,canasta,azul,True,False,2,8/07/2021 8:23:05 p. m.
martillo,negro,canasta,azul,True,True,2,8/07/2021 8:23:17 p. m.
serrucho,negro,canasta,azul,True,True,2,8/07/2021 8:23:27 p. m.
alicate,azul,canasta,verde,True,True,0,8/07/2021 8:27:09 p. m.
serrucho,amarillo,canasta,verde,True,True,1,8/07/2021 8:27:18 p. m.
serrucho,marron,canasta,amarilla,True,True,1,8/07/2021 8:27:35 p. m.
llave,azul,caneca,verde,True,True,1,8/07/2021 8:27:42 p. m.
llaves bristol,verde,canasta,amarilla,True,True,2,8/07/2021 8:27:50 p. m.
llaves bristol,verde,canasta,amarilla,True,True,2,8/07/2021 8:28:05 p. m.
destornillador de estrella,verde,caneca,roja,True,True,2,8/07/2021 8:28:16 p. m.
llaves bristol,verde,canasta,negra,True,True,2,8/07/2021 8:28:25 p. m.
llaves bristol,verde,canasta,amarilla,True,True,2,8/07/2021 8:28:33 p. m.
hacha,amarilla,canasta,negra,True,True,3,8/07/2021 8:28:43 p. m.
serrucho,azul,caneca,negra,True,True,3,8/07/2021 8:28:58 p. m.
llave de tubos,verde,caja,negra,True,True,3,8/07/2021 8:29:09 p. m.
serrucho,verde,caneca,negra,True,True,3,8/07/2021 8:29:17 p. m.
llaves bristol,verde,caneca,negra,True,False,3,8/07/2021 8:29:25 p. m.
taladro,rojo,caja,negra,True,True,3,8/07/2021 8:29:37 p. m.
llave,amarilla,caneca,negra,True,True,3,8/07/2021 8:29:47 p. m.
serrucho,verde,caja,negra,True,True,4,8/07/2021 8:29:56 p. m.
martillo,verde,canasta,verde,True,True,4,8/07/2021 8:30:06 p. m.
hacha,amarilla,canasta,verde,True,True,4,8/07/2021 8:30:18 p. m.
martillo,verde,caja,marrón,True,True,4,8/07/2021 8:30:24 p. m.
taladro,azul,canasta,roja,True,True,4,8/07/2021 8:30:33 p. m.
hacha,verde,canasta,verde,True,True,4,8/07/2021 8:30:43 p. m.
martillo,marron,caja,marrón,True,True,4,8/07/2021 8:30:53 p. m.
