Pickable Name,Pickable color,Container name,Container color,Correct pickable,Correct container,Level,Time stamp
llave de tubos,roja,caneca,negra,False,False,0,27/02/2026 2:44:29
llave de tubos,roja,caneca,negra,False,True,0,27/02/2026 2:44:33
llave de tubos,roja,caja,verde,False,False,0,27/02/2026 2:44:36
llave de tubos,roja,caneca,negra,False,True,0,27/02/2026 2:44:38
llave de tubos,roja,caja,negra,False,False,0,27/02/2026 2:45:02
llave de tubos,roja,caja,negra,False,True,0,27/02/2026 2:45:08
llave de tubos,roja,caja,negra,False,False,0,27/02/2026 2:45:12
llave de tubos,roja,canasta,marrón,False,True,0,27/02/2026 2:45:16
llave de tubos,roja,caja,negra,False,True,0,27/02/2026 2:45:17
alicate,negro,caja,negra,False,True,0,27/02/2026 2:45:21
alicate,negro,caja,negra,False,False,0,27/02/2026 2:45:26
alicate,negro,caja,negra,False,True,0,27/02/2026 2:45:30
alicate,negro,caja,negra,False,False,0,27/02/2026 2:45:35
alicate,negro,caja,negra,False,True,0,27/02/2026 2:45:40
alicate,negro,caja,negra,False,False,0,27/02/2026 2:45:48
llave de tubos,roja,caneca,azul,False,False,0,27/02/2026 2:49:26
destornillador de pala,amarillo,caja,negra,False,False,0,27/02/2026 2:49:27
llave de tubos,roja,caneca,azul,False,False,0,27/02/2026 2:49:31
llave de tubos,roja,canasta,amarilla,False,False,0,27/02/2026 2:49:33
llave de tubos,roja,caneca,azul,False,True,0,27/02/2026 2:49:35
llave de tubos,roja,caneca,azul,False,False,0,27/02/2026 2:49:40
llave de tubos,roja,canasta,amarilla,False,True,0,27/02/2026 2:49:40
llave de tubos,roja,caneca,azul,False,True,0,27/02/2026 2:49:44
llave de tubos,roja,canasta,amarilla,False,False,0,27/02/2026 2:49:47
llave de tubos,roja,caneca,azul,False,True,0,27/02/2026 2:49:50
llave de tubos,roja,canasta,amarilla,False,True,0,27/02/2026 2:49:52
llave de tubos,roja,caneca,azul,False,True,0,27/02/2026 2:49:55
llave de tubos,roja,canasta,amarilla,False,True,0,27/02/2026 2:49:58
llave de tubos,roja,caneca,azul,False,False,0,27/02/2026 2:49:59
destornillador de pala,amarillo,caja,negra,False,False,0,27/02/2026 2:50:04
llave de tubos,roja,caneca,azul,False,False,0,27/02/2026 2:50:05
llave de tubos,roja,canasta,amarilla,False,True,0,27/02/2026 2:50:07
llave de tubos,roja,caja,amarilla,False,False,0,27/02/2026 2:50:36
llave de tubos,roja,caja,amarilla,False,False,0,27/02/2026 2:50:41
llave de tubos,roja,caja,amarilla,False,True,0,27/02/2026 2:50:45
llave de tubos,roja,caja,amarilla,False,False,0,27/02/2026 2:50:50
llave de tubos,roja,caja,amarilla,False,False,0,27/02/2026 2:50:54
llave de tubos,roja,caja,amarilla,False,True,0,27/02/2026 2:50:59
